ชื่อ,รหัสนิสิต,ชั้นปี
กิตติพงศ์ วัฒนชัย,66102010001,1
ชญานิศ ศรีสวัสดิ์,66102010002,1
ณัฐวุฒิ พรหมมา,66102010003,1
ปภาวรินทร์ แสงทอง,66102010004,1
พีรพัฒน์ อินทรสุข,66102010005,1
กัญญารัตน์ บุญช่วย,65102020001,2
ชยพล ตั้งเจริญ,65102020002,2
ณิชารีย์ สุขเกษม,65102020003,2
ธนกฤต รุ่งเรือง,65102020004,2
พรนภา จันทร์เพ็ญ,65102020005,2
กรวิชญ์ อุดมทรัพย์,64102030001,3
จิราพร คงมั่น,64102030002,3
ธนภัทร วงศ์ดี,64102030003,3
นภัสสร แก้วกาญจน์,64102030004,3
ภัทรดนัย ชูศรี,64102030005,3
กมลชนก มีสุข,63102040001,4
ชลธิชา พัฒนกิจ,63102040002,4
ณัฐดนัย สายสมร,63102040003,4
พิมพ์ชนก รัตนวงศ์,63102040004,4
วรเมธ สุวรรณดี,63102040005,4
